My Type,Saint Motel
House of Balloons / Glass Table Girls (Original),The Weeknd
Loft Music (Original),The Weeknd
Headlines,Drake
Crew Love (feat. The Weeknd),Drake
Take Care (feat. Rihanna),Drake
HYFR (Hell Ya F***ing Right) [feat. Lil Wayne],Drake
The Motto (Bonus Track) [feat. Lil Wayne],Drake
Fall,Davido
FIA,Davido
Shortie Like Mine (feat. Chris Brown & Johntá Austin),Bow Wow
HiiiPower,Kendrick Lamar
Hola' Hovito,JAY-Z
untitled 07 l 2014 - 2016,Kendrick Lamar
Deuces (feat. Tyga & Kevin McCall),Chris Brown
How Deep Is Your Love,"Calvin Harris, Disciples"
Door,Joeboy
If I Ever Fall In Love (Grooves Bedroom Mix),Shai
Comforter,Shai
High All the Time,50 Cent
Heat,50 Cent
Back Down,50 Cent
Killer,Eminem
Mr Oreo,Iyanya
Pimp Like Me,D12
Fight Music,D12
Under the Influence (feat. D12),Eminem
Shit Hits the Fan (feat. Dr. Dre),Obie Trice
My Family (feat. BackRoad Gee),Pa Salieu
No Type,Rae Sremmurd
I'm The One,MoStack & Fredo
Lost It (feat. Quavo & Offset),Rich The Kid
Solitaires (feat. Travis Scott),Future
Calm Down,Loski
Fake Love (feat. Yxng Bane),Nafe Smallz
Best Friend,Young Thug
Cool Kid,Loski
10 More Rounds,FLOHIO
Vice Versa (feat. WSTRN),One Acen
Swervin (feat. 6ix9ine),A Boogie wit da Hoodie
Close Friends,Lil Baby
motive,Ariana Grande & Doja Cat
Hannah Montana,Migos
Onyeka (Baby),Burna Boy
Woman,Rema
Feeling Good,Nina Simone
You Know I'm No Good,Amy Winehouse
Can I Call You Tonight?,Dayglow
Sky,Playboi Carti
I Put a Spell On You,Nina Simone
Hot Rod,Dayglow
4x4,Young T & Bugsey
Stronger,Clean Bandit
Forever (feat. YoungBoy Never Broke Again and Shy Glizzy),Quando Rondo
F*** Da Bulls*** (feat. Birdman),Young Money
Remember the Time,Michael Jackson
Valerie (BBC Radio 1 Live Lounge),Amy Winehouse
Rumour Has It,Adele
Bad,Michael Jackson
The Chain,Fleetwood Mac
Trophies (feat. Drake),Young Money
Armed N Dangerous (Charlie Sloth Freestyle),Pop Smoke
Black Face,Eric Da God Child
Celebrate (feat. Travis Scott & Post Malone),DJ Khaled
Sh!t,Future
Stucc in the Grind,Bino Rideaux & Nipsey Hussle
Mountain vs Anthill,HAWK
Say No More,23 Unofficial
Sacrifice,Afterlife
Effortless,Bino Rideaux & Nipsey Hussle
Bad Boyz,Shyne Featuring Barrington Levy
Hard Knock Life (Ghetto Anthem),JAY-Z
Lifestyles of the Rich and Shameless,Lost Boyz
Shake Ya Ass,Mystikal
B.B. King Freestyle (feat. Drake),Lil Wayne
Wipe the Case Away (feat. Ty Real),Bobby Shmurda
Living Life (feat. Rowdy Rebel),Bobby Shmurda
Hussle & Motivate,Nipsey Hussle
Double Up (feat. Belly & DOM KENNEDY) [Bonus Track],Nipsey Hussle
Victory Lap (feat. Stacy Barthe),Nipsey Hussle
Right Hand 2 God (Bonus Track),Nipsey Hussle
Last Time That I Checc’d (feat. YG),Nipsey Hussle
The Marathon Continues,J. Stone
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa
The Zenith (feat. Rick Ross),Stalley & Wale
Errbody,Lil Baby
Heartz of Men,2Pac
All Eyez On Me (feat. Big Syke),2Pac
"All About U (feat. Snoop Doggy Dogg, Nate Dogg & Dru Down)",2Pac
2 of Amerikaz Most Wanted (feat. Snoop Dogg & Snoop Doggy Dogg),2Pac
Can't C Me,2Pac
Yeba,Kizz Daniel
Picture Me Grapin’,NLE Choppa
A Tale Of 2 Citiez,J. Cole
Ambition (feat. Meek Mill & Rick Ross),Wale
Last Breath,Future
Let Me Down (feat. Stormzy) [Shy FX Remix],Jorja Smith
Be Honest (feat. Burna Boy),Jorja Smith
On My Mind,Jorja Smith & Preditah
Pull Up N Wreck (feat. 21 Savage),Big Sean & Metro Boomin
So Good (feat. Kash Doll),Big Sean & Metro Boomin
Epic HipHop Beat Instrumental Gladiator - Anno Domini Beats,MPEG audio file
LIKE I WANT YOU,GIVĒON
Jigga My N***a (feat. JAY-Z),Ruff Ryders
Lord Knows (feat. Tory Lanez),Meek Mill
Song 2 You (feat. Leon Thomas III & Victoria Justice),Victorious Cast
Renee,Lost Boyz
Conga,"Meek Mill, Leslie Grace & Boi-1da"
Gangsta's Paradise (feat. L.V.),Coolio
Wants and Needs (feat. Lil Baby),Drake
Lemon Pepper Freestyle (feat. Rick Ross),Drake
What’s Next,Drake
Cruise,Florida Georgia Line
Real Friends,Kanye West
Music Makes Me High,Lost Boyz
Lost One (feat. Chrisette Michele),JAY-Z
Oh My God,JAY-Z
Kingdom Come,JAY-Z
Do U Wanna Ride (feat. John Legend),JAY-Z
30 Something,JAY-Z
Anything (feat. Usher & Pharrell Williams),JAY-Z
Hollywood (feat. Beyoncé),JAY-Z
Minority Report (feat. Ne-Yo),JAY-Z
Trouble,JAY-Z
Changes (feat. Talent),2Pac
Grammys (feat. Future),Drake
Big Amount (feat. Drake),2 Chainz
Enjoy Yourself (feat. Burna Boy) [Remix],Pop Smoke
Hotel Lobby,Pop Smoke
Tsunami (feat. Davido),Pop Smoke
Showin Off Pt.2 (feat. Fivio Foreign),Pop Smoke
Backseat (feat. PnB Rock),Pop Smoke
She Feelin Nice (feat. Jamie Foxx),Pop Smoke
Paranoia (feat. Gunna & Young Thug),Pop Smoke
Hello (feat. A Boogie wit da Hoodie),Pop Smoke
Aim For The Moon (feat. Quavo),Pop Smoke
For The Night (feat. Lil Baby & DaBaby),Pop Smoke
44 BullDog,Pop Smoke
Gangstas,Pop Smoke
Yea Yea,Pop Smoke
Creature (feat. Swae Lee),Pop Smoke
Snitching (feat. Quavo & Future),Pop Smoke
Make It Rain (feat. Rowdy Rebel),Pop Smoke
West Coast Shit (feat. Tyga & Quavo),Pop Smoke
Something Special,Pop Smoke
What You Know Bout Love,Pop Smoke
Got It On Me,Pop Smoke
Diana (feat. King Combs & Calboy) [Remix],Pop Smoke
I Can,Nas
Get Down,Nas
The Cross,Nas
Made You Look,Nas
Last Real N***a Alive,Nas
The World Is Yours,Nas
Life's a Bitch,Nas
Pride,Key Glock
Wack Jumper,"Glockboyz Teejaee, OnFully, The Godfather & BandGang Lonnie Bands"
Summer Madness,Kool & The Gang
Cheerleader (Felix Jaehn Remix) [Radio Edit],Omi
Hula Hoop,Omi
The Way It Is,Bruce Hornsby & The Range
Lesley (feat. Ruelle),Dave
Streatham,Dave
Black,Dave
Environment,Dave
Public Service Announcement (Interlude),JAY-Z
Harlem Talez,MPEG audio file
We Can (feat. Tory Lanez),Kranium
Tombstone,Rod Wave
Kings & Queens,Ava Max
Something Different,Adekunle Gold
Kelegbe Megbe (Know Your Level),Adekunle Gold
Daddy Yo,Wizkid
Bruised Not Broken (feat. MNEK & Kiana Ledé),Matoma
ROLLIN N CONTROLLIN FREESTYLE,DUSTY LOCANE
RUMBLE,DUSTY LOCANE
"INTRO 2 ME, PT. 1",DUSTY LOCANE
Ke Star (feat. Virgo Deep) [Remix],Focalistic & Davido
Just Playing (Dreams) [2005 Remaster],The Notorious B.I.G.
Doin' It,LL COOL J
All I Have (feat. LL Cool J),Jennifer Lopez
Phenomenon,LL Cool J
Loungin (Who Do Ya Luv) [Remix],LL COOL J
Sit Next to Me,Foster the People
True Colors,The Weeknd
Bigger Than Me (feat. The Flint Chozen Choir & Starrah),Big Sean
Nasty,Minz
No Sleeep (feat. J. Cole),Janet Jackson
Replay,Zendaya
Mmm Yeah (feat. Pitbull),Austin Mahone
"Independent Women, Pt. 1",Destiny's Child
Young Nation,Aaliyah
Fool You,The Recipe
Worth It (feat. Kid Ink),Fifth Harmony
Hype,Miracle King
Drop a Gem On 'Em,Mobb Deep
Nosetalgia (feat. Kendrick Lamar),Pusha T
Say Aah (feat. Fabolous),Trey Songz
If I Ain't Got You,Alicia Keys
Aboki,Ice Prince
What's the Difference (feat. Eminem & Xzibit),Dr. Dre
St. Lucia,Future
XanaX Damage,Future
Love Thy Enemies,Future
Please Tell Me,Future
Shotgun,Future
Government Official,Future
Extra,Future
Slatty (feat. Yak Gotti & Lil Duke),"Young Stoner Life, Young Thug & Gunna"
Don't Push Me (feat. Lloyd Banks & Eminem),50 Cent
Get a Stack (feat. J Hus),Krept & Konan
Suffa,Dozie
Complicated,Dozie
Desiigner - Monstas and Villains (Full Version),MPEG audio file
Come Through (feat. Chris Brown),H.E.R.
Held Me Down,NAV & Metro Boomin
Offended (feat. Young Thug & 21 Savage),Meek Mill
Up,NAV
Both Sides (feat. 21 Savage),NAV & Metro Boomin
I Don't Care,NAV & Metro Boomin
Hit,NAV & Metro Boomin
A$AP Ferg (feat. Lil Uzi Vert),NAV & Metro Boomin
Never Change,NAV
Madu,Kizz Daniel
Trust Issues,Drake
The City Is Mine (feat. Blackstreet),JAY-Z
Nesesari (feat. Philkeyz),Kizz Daniel
Jore (feat. Kizz Daniel),Adekunle Gold
Crunk Ain't Dead,Duke Deuce
Cinematic Type Instrumental Step In The Arena - Anno Domini Beats,MPEG audio file
Young M.A - Quiet Storm (Official Video),MPEG audio file
"0 to 100 (Remix) - Drake Ft. 50 Cent, Meek Mill, Vado, Lloyd Banks & Precious Paris",MPEG audio file
Full Stomach Lyrics - Dame DOLLA (Damian Lillard),MPEG audio file
Dame D.O.L.L.A. ft. Brookfield Duece - They Sleep (prod. Jahlil Beats) [Thizzler.com],MPEG audio file
Company (feat. Future),24kGoldn
Adore You,Harry Styles
Beautiful Mistakes,Maroon 5 & Megan Thee Stallion
Sugar,Maroon 5
Moves Like Jagger (feat. Christina Aguilera),Maroon 5
Girls Like You (feat. Cardi B),Maroon 5
Payphone (feat. Wiz Khalifa),Maroon 5
One Time Comin',YG
SLAY (feat. Quavo),YG
"BIG BANK (feat. 2 Chainz, Big Sean & Nicki Minaj)",YG
Want Her (feat. Quavo & YG),Mustard
Voodoo,Nick Jonas
Champagne Problems,Nick Jonas
Chainsaw,Nick Jonas
Good Girls (feat. Big Sean),Nick Jonas
Astronaut In The Ocean,Masked Wolf
Don't Tell 'Em (feat. YG),Jeremih
Might Not (feat. The Weeknd),Belly
Frozen Water (feat. Future),Belly
What You Want (feat. The Weeknd),Belly
Stuck On You,GIVĒON
Wrist (feat. Solo Lucci),Chris Brown
Little More (Royalty),Chris Brown
Fendi (feat. Joeboy),Blaqbonez
Sere,SPINALL & Fireboy DML
Still Up All Night,Eli Sostre
New Addy,Eli Sostre
Promises (feat. Joe L Barnes),Maverick City Music & Naomi Raine
Champagne Service,Dizzy Wright
Poor Fool (feat. Swae Lee),2 Chainz
Gulag,Big Jest
Jordan Belfort,Wes Walker & Dyl
It's Almost Human of You,Ramin Djawadi
Glowing Mic,Gang Starr
Pricey & Spicy,Tory Lanez
IYKYK,Belly
Full Clip,Gang Starr
9 5 . s o u t h,J. Cole
a m a r i,J. Cole
m y . l i f e,"J. Cole, 21 Savage & Morray"
Boys Do Cry.,Piff Marti
Seeing Green,"Nicki Minaj, Drake & Lil Wayne"
Boasty (feat. Idris Elba),"Wiley, Stefflon Don & Sean Paul"
His & Hers (feat. Gunna),"Internet Money, Don Toliver & Lil Uzi Vert"
So Amazing (feat. Olivia),50 Cent
Get That Money (feat. Future),Ralo
Parachute (feat. R. Kelly),Future
Kiss Me More (feat. SZA),Doja Cat
p r i d e . i s . t h e . d e v i l,J. Cole & Lil Baby
Lay Up,Future
Versace (feat. Drake) [Remix],Migos
Versace,Migos
Firework,Katy Perry
Smooth Criminal,Michael Jackson
Waves,Mr. Probz
Waves (Robin Schulz Remix Radio Edit),Mr. Probz
I Just Wanna Love U (Give It 2 Me),JAY-Z
Trouble Man,Lil Boosie & Webbie
Skeletun,Tekno
Temperature,Sean Paul
I Want You Back,Jackson 5
ABC,Jackson 5
Get Down On It,Kool & The Gang
On a Mountain,Gunna
Play That Funky Music (White Boy),Leif Garrett
I Was Made for Dancin’,Leif Garrett
Time Is Running Out,Apollo 440
Plain Jane,A$AP Ferg
Avalanche,Migos
Ain't It Fun,Paramore
Hip 2 Da Game (feat. Kid Capri),Lord Finesse
Hotline Bling,Drake
Never Be the Same,Camila Cabello
Hail Mary,Makaveli
Me And My Girlfriend,Makaveli
To Live And Die In L.A.,Makaveli
good 4 u,Olivia Rodrigo
RAPSTAR,Polo G
Type Shit,Migos & Cardi B
2 Cases,Top5 & 6ixbuzz
Slide,Bandokay
Meant To Be,"Stay Flee Get Lizzy, Fredo & Central Cee"
Oliver Twist,ArrDee
Pakurumo,Wizkid
E No Easy (feat. J. Martins),P-Square
Malibu (feat. Polo G),Migos
Celebrate Me,Patoranking
WITHOUT YOU (Miley Cyrus Remix),The Kid LAROI & Miley Cyrus
Trouble Nobody (Explicit),Akon
Alive,Empire of the Sun
Summertime,Louis Armstrong & Ella Fitzgerald
Baby It's Cold Outside (feat. Louis Jordan & His Tympany Five),Ella Fitzgerald
Ye,Burna Boy
"Hate It or Love It (G-Unit Remix) [feat. The Game, Tony Yayo, Young Buck & Lloyd Banks]",50 Cent
Close Edge,Mos Def
Blood On the Leaves,Kanye West
Save Your Tears (Remix),The Weeknd & Ariana Grande
Still Tippin' (feat. Slim Thug & Paul Wall),Mike Jones
Cupid Shuffle,Cupid
Cha-cha Slide (Main Mix),MC JIG
"Not Tonight (feat. Da Brat, Left Eye, Missy ""Misdemeanor"" Elliott and Angie Martinez (Remix)",Lil' Kim
Country Girls,Jess Moskaluke
Breakfast At Tiffany's,Deep Blue Something
Troublemaker (feat. Flo Rida),Olly Murs
The Bigger Picture,Lil Baby
Ashawo (Remix),Flavour
Bend,Ria Mae
Smile (Explicit),G-Unit
Levitating (feat. DaBaby),Dua Lipa
Jalebi Baby,Tesher & Jason Derulo
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled
Hellcats & Trackhawks,Only The Family & Lil Durk
Rise and Shine,J. Cole
Over the Top (feat. Drake),Smiley
Fall in Love,D'banj
Yori Yori,Bracket
Jet Lag (feat. Natasha Bedingfield),Simple Plan
Yahooze,Olu Maintain
Pomporo,Timaya
Horse & Carriage (feat. Mase),Cam'ron
Bora Bora,Kam Prada
Roll in Peace (feat. XXXTENTACION),Kodak Black
Tunnel Vision,Kodak Black
There He Go,Kodak Black
Berzerk,Eminem
Big Boy Diamonds (feat. Kodak Black & London On Da Track),Gucci Mane
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott
Good Job,Alicia Keys
Back On Road,Gucci Mane & Drake
30 Pack,BIG30 & Action Pack
Boffum (feat. Big 30),Moneybagg Yo
Time Heals,Rod Wave
I Really Want to Show You (feat. K-CI & Jo-Jo & Nas) [2005 Remaster],The Notorious B.I.G.
Do It,Chloe x Halle
Beggin',Måneskin
Demeanor (feat. Dua Lipa),Pop Smoke
Buffalo Soldier,Bob Marley & The Wailers
Is This Love,Bob Marley & The Wailers
Top Striker (Remix) [feat. Chip & RV],Blasé & Luxo
Stereo Hearts (feat. Adam Levine),Gym Class Heroes
Money Trees (feat. Jay Rock),Kendrick Lamar
It Was a Good Day,Ice Cube
Boyz-n-the-Hood (feat. Ice Cube) [Remix],Eazy-E
You Can Do It (feat. Mack 10 & Ms. Toi),Ice Cube
Ambitionz Az A Ridah,2Pac
22,Taylor Swift
High,Adekunle Gold & Davido
It Is What It Is,Adekunle Gold
Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle
U See Us,Nipsey Hussle
Checc Me out (feat. Cobby Supreme & Dom Kennedy),Nipsey Hussle
Crenshaw & Slauson (True Story),Nipsey Hussle
Verdansk (Survival Mode),Dave
Clash,Dave & Stormzy
Wanna Know (Remix),Dave & Drake
Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran
System,Dave & Wizkid
We're All Alone,Dave
Three Rivers,Dave
Lazarus,Dave & BOJ
Law Of Attraction,Dave & Snoh Aalegra
Both Sides Of A Smile,Dave & James Blake
I Love Rock 'N Roll,Joan Jett & the Blackhearts
Shadowboxin' (feat. Method Man),GZA
Control The World (feat. Lil Wayne),24kGoldn
Just For Me (feat. SZA) [Space Jam: A New Legacy],SAINt JHN
Pump Up The Jam,Lil Uzi Vert
Crowd Go Crazy,John Legend
Mercy,Jonas Brothers
Gametime,Lil Tecca & Aminé
About That Time,"Dame D.O.L.L.A., G-Eazy, P-Lo & OG DAYV"
Make It Out,Lil Baby & Lil Durk
Shining (feat. Beyoncé & JAY Z),DJ Khaled
H•a•m,Kanye West & JAY-Z
Rare,Nas
Girl On Fire,Alicia Keys
No One,Alicia Keys
Fallin',Alicia Keys
In Common,Alicia Keys
Un-thinkable (I'm Ready),Alicia Keys
Fireworks (feat. Alicia Keys),Drake
"Empire State of Mind, Pt. 2",Alicia Keys
Gangsta Lovin' (feat. Alicia Keys),Eve
Un-thinkable (I'm Ready) [Remix] {feat. Drake},Alicia Keys
Show Me Love (feat. Miguel),Alicia Keys
Underdog,Alicia Keys
A Woman's Worth,Alicia Keys
Karma,Alicia Keys
I Still Need You,ayokay
From Time (feat. Jhene Aiko),Drake
Cold Hearted III,Meek Mill
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem"
Hate Bein' Sober (feat. 50 Cent & Wiz Khalifa),Chief Keef
Intro (Hate On Me),Meek Mill
Outside (100 MPH),Meek Mill
Bobo (feat. Davido),Mayorkun
Mama,Mayorkun
"Red Handed (feat. Peruzzi, Dremo & Yonda)",Mayorkun
Bad Boys for Life,Lorne Balfe
Dimension (feat. Skepta & Rema),JAE5
The Cow,Westside Gunn
Took the Money to the Plug's House,Benny the Butcher
Snakes (feat. T'nah Apex),Joey Bada$$
Charged Up,Drake
Stevie,Kasabian
She Belongs to the Game (feat. Young Lito),Troy Ave
traitor,Olivia Rodrigo
Boyz-n-the-Hood,Eazy-E
Fuck tha Police,N.W.A
Animals,Maroon 5
Memories,Maroon 5
What Lovers Do (feat. SZA),Maroon 5
Sugar Sugar (Original Recording),The Archies
"Xxplosive (feat. Hittman, Six-Two, Nate Dogg & Kurupt)",Dr. Dre
Grind,MO3
Ankle Bully,Dribble2much
Stars Align (with Drake),Majid Jordan & Drake
Body Talk,Majid Jordan
03' Bonnie & Clyde (feat. Beyoncé Knowles),JAY-Z
Let It Fly,Dribble2much
Can't Relate,Omah Lay
Fire Burning,Sean Kingston
Beautiful Girls,Sean Kingston
Livin' On a Prayer,Bon Jovi
Walking On a Dream,Empire of the Sun
Palace,A$AP Rocky
Peso,A$AP Rocky
Bass,A$AP Rocky
What You Won't Do for Love,Bobby Caldwell
The Ecstasy Of Gold (2004 Remaster),Ennio Morricone
W.T.P.,Eminem
When We Ride On Our Enemies (Briss Remix),2Pac
Whiskey Eyes (feat. Chinx),French Montana
"C.R.E.A.M. (Cash Rules Everything Around Me) [feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk]",Wu-Tang Clan
Check,Young Thug
We Are Young (feat. Janelle Monáe),Fun.
Gave Your Love Away,Majid Jordan
Get Lucky,"Daft Punk, Pharrell Williams & Nile Rodgers"
No Love (feat. Lil Wayne),Eminem
When I'm Gone,Eminem
Need You Now,Lady A
Rolex,Ayo & Teo
Careless Whisper,George Michael
Counting Stars,OneRepublic
The Last of the Real Ones,Fall Out Boy
Scandalous,Mis-Teeq
Just the Two of Us,"Grover Washington, Jr. & Bill Withers"
Sparks Will Fly (feat. Jhené Aiko),J. Cole
Lost in the Fire,Gesaffelstein & The Weeknd
Love the Way You Lie (feat. Rihanna),Eminem
Airplanes (feat. Hayley Williams of Paramore),B.o.B
Southside (feat. Ashanti),Lloyd
Work (feat. Drake),Rihanna
Pull Up,Puffy L'z
Point and Kill (feat. Obongjayar),Little Simz
Suzanna (feat. Patoranking),NSG
Headliner,NSG
Only God Can Judge Me,NSG & MIST
A-Punk,Vampire Weekend
Fear No Man,Little Simz
One Night Stand,Mis-Teeq
Can't Get It Back,Mis-Teeq
Kids,MGMT
Love Me Again,John Newman
Closer To My Dreams,RTB MB
Tampa,Cico P
Uptown Funk (feat. Bruno Mars),Mark Ronson
Having Our Way (feat. Drake),Migos
Are You That Somebody,Aaliyah
The Sound,The 1975
It's Not Living (If It's Not With You),The 1975
UGH!,The 1975
Play That Song,Train
The Color Violet,Tory Lanez
Lavender Sunflower,Tory Lanez
If You’re Too Shy (Let Me Know),The 1975
Pretty Brown Eyes,Cody Simpson
‘87 Stingray,Tory Lanez
Same Love (feat. Mary Lambert),"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis"
"4th Chamber (feat. RZA, Ghostface Killah & Killah Priest)",GZA
Icon,Jaden
Work Out,J. Cole
Jowo,Davido
High School (feat. Lil Wayne),Nicki Minaj
Disaster (feat. J Hus),Dave
Sekkle Down (feat. J Hus),Burna Boy
Did You See,J Hus
No Denying,J Hus
I Ain't No Joke,Eric B. & Rakim
Ante Up,WC
Lean Back (Clean Version) [Edited],"Terror Squad, Fat Joe & Remy"
CPTN Cold Crush,Canibus
Spotlight,B. Logic
Christ Conscious,Joey Bada$$
Alright,Kendrick Lamar
Rolling In the Deep,Adele
One More Night,Maroon 5
Ai Se Eu Te Pego! (Ao Vivo),Michel Teló
Radioactive,Imagine Dragons
Wake Me Up,Avicii
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis"
Rude,MAGIC!
Take My Breath,The Weeknd
She's American,The 1975
On The Go (feat. Pink Sweat$ & Lunay),Bebe Rexha
Low (feat. Wizkid),Larry Gaaga
Cold Outside (feat. Buju),Timaya
Moo Dem T*****s,James Armfield & Jonathan Jackson
I Wanna Do Your Wife,Jeremy Faglier
Getting Drunk F**kin' Strippers,Jeremy Faglier
Sugar Shaker,Alena Todd
Crank Dat Artichoke,Jonathan Jackson
The Boondocks Main Title,Asheru
You My N***a (Bonus Track),Metaphor The Great
D-Riding (Bonus Track),Jeremy Faglier & Carl Jones
It's Terrible In Terrabelle,Metaphor The Great
Butter My Biscuit,Metaphor The Great
Wishing (feat. Masta Ace),Edo. G & Pete Rock
Waves of Blue,Majid Jordan
The Gambler (feat. Anthony Hamilton),Xzibit
Weight On Me,Sheff G & Sleepy Hallow
Moonlight Serenade (Slow Swing),Ballroom Dance Collection
"Ballroom Nostalgie (Slow Swing) [Sentimental Journey / Moonlight Serenade / Stardust / As Time Goes By / Somewhere Over The Rainbow / I'm Getting Sentimental Over You, For Sentimental Reason]",Ballroom Dance Collection
Tuxedo Junction (Slow Swing),Ballroom Dance Collection
pushin P (feat. Young Thug),Gunna & Future
Today (feat. Gunna),Cordae
DUCKWORTH.,Kendrick Lamar
Left Hollywood,Meek Mill
Heavy Heart,Meek Mill
1942 Flows,Meek Mill
Whatever You Need (feat. Chris Brown & Ty Dolla $ign),Meek Mill
We Ball (feat. Young Thug),Meek Mill
Fall Thru,Meek Mill
Glow Up,Meek Mill
Young Black America (feat. The-Dream),Meek Mill
Ball Player (feat. Quavo),Meek Mill
Price,Meek Mill
Save Me,Meek Mill
Begging You,Russ
Peru,Fireboy DML
Nas Album Done (feat. Nas),DJ Khaled
One I Want (feat. PARTYNEXTDOOR),Majid Jordan
Small Talk,Majid Jordan
Dancing on a Dream (feat. Swae Lee),Majid Jordan
Sacrifice,The Weeknd
DNA.,Kendrick Lamar
ELEMENT.,Kendrick Lamar
Killing Me Softly With His Song,Fugees
Ready or Not,Fugees
Doo Wop (That Thing),Lauryn Hill
Year of the Dragon (feat. Lauryn Hill),Wyclef Jean
Street Jeopardy (feat. John Forté),Wyclef Jean
We Trying to Stay Alive (feat. John Forté & Pras),Wyclef Jean
Ex-Factor,Lauryn Hill
Can't Take My Eyes Off of You (I Love You Baby),Lauryn Hill
Everything Is Everything,Lauryn Hill
To Zion (feat. Carlos Santana),Lauryn Hill
Lost Ones,Lauryn Hill
Aston Martin Music (feat. Drake & Chrisette Michele),Rick Ross
I Want You Back,Jackson 5
Award Tour,A Tribe Called Quest
Buggin' Out,A Tribe Called Quest
"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) [LP Mix]",A Tribe Called Quest
Best Rapper Alive,Lil Wayne
Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton & Nightcrawlers
Lady of Namek,Tory Lanez
Hurt From Mercury,Tory Lanez
Fu-Gee-La,Fugees
Strike a Pose (feat. Aitch),Young T & Bugsey
Return of the Mack,Mark Morrison
Gypsy,Fleetwood Mac
None of This,Bino Rideaux & Nipsey Hussle
Sincerely Face,Babyface Ray
The Kid Frankie,Wiz Khalifa
Hop Out,LNDN DRGS & Jay Worthy
Off The Grid,Kanye West
All Day,Cody Simpson
iYiYi (feat. Flo Rida),Cody Simpson
On My Mind,Cody Simpson
Heartless,Kanye West
Better,Khalid
"After the Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis
Down with the Sickness,Disturbed
Interstellar- Main Theme,Geek Music
93 'Til Infinity,Souls of Mischief
Family and Loyalty (feat. J. Cole),Gang Starr
Holy Grail (feat. Justin Timberlake),JAY-Z
New Level (feat. Future),A$AP Ferg
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift
I Know There's Gonna Be (Good Times) [feat. Young Thug & Popcaan],Jamie xx
What They Want,Russ
Losin Control,Russ
OTW,"Khalid, 6LACK & Ty Dolla $ign"
Last Call,Kanye West
Ni**as in Paris,JAY-Z & Kanye West
Through the Wire,Kanye West
Bound 2,Kanye West
"Mercy (feat. Big Sean, Pusha T & 2 Chainz)",Kanye West
FourFiveSeconds,Rihanna and Kanye West and Paul McCartney
Daily Routine,Joey Bada$$
Survival Tactics (feat. Capital Steez),Joey Bada$$
Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) [2007 Remaster],The Notorious B.I.G.
The Thrill,Wiz Khalifa & Empire of the Sun
The Moment,Tame Impala
Lost in Yesterday,Tame Impala
Fountain of Youth,Local Natives
Spiritual,Burna Boy
Cooler Than Me (Single Mix),Mike Posner
Better Days,"NEIKED, Mae Muller & Polo G"
Bad Man (Smooth Criminal),Polo G
Don't Play (feat. Lil Baby),Polo G
Heating Up (feat. YungLiV),Polo G
"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",Shoreline Mafia
Want Beef? (feat. BaeBae Savo),YSN Flow
"All Day (feat. Theophilus London, Allan Kingdom & Paul McCartney)",Kanye West
I Took a Pill in Ibiza (Seeb Remix),Mike Posner
All Gold Everything,Trinidad James
Round & Round,Selena Gomez & The Scene
Stolen Dance,Milky Chance
Playboy,Fireboy DML
Royals,Lorde
Skin,Dijon
Karma,Lloyd Banks
Jinja,Tekno
Sempe,L.A.X
Kiwi,Harry Styles
Watermelon Sugar,Harry Styles
New Negro Spiritual,EARTHGANG
Niggaz Done Started Something (feat. The LOX & Ma$e),DMX
Stay Ready (What a Life) [feat. Kendrick Lamar],Jhené Aiko
Whatchulookinat (P. Diddy Remix) [Radio Edit],Whitney Houston & P. Diddy
love nwantiti (feat. Axel & Dj Yo!) [Remix],CKay
Here I Go,Mystikal
Lola Montez,Volbeat
As It Was,Harry Styles
Bank on It,Burna Boy
Dangerous Love,Tiwa Savage
Sugar (feat. Anatu),Zubi
Jingling Baby,LL COOL J
Some Nights,Fun.
Good Old-Fashioned Lover Boy,Queen
"Bitch, Don’t Kill My Vibe",Kendrick Lamar
Poetic Justice (feat. Drake),Kendrick Lamar
Rigamortus,Kendrick Lamar
Swimming Pools (Drank) [Bonus Track],Kendrick Lamar
Good Kid,Kendrick Lamar
Backseat Freestyle,Kendrick Lamar
Wake Me Up Before You Go Go,Wham!
Build Me Up Buttercup,The Foundations
"So Fresh, So Clean",Outkast
First Class,Jack Harlow
Ojuelegba,Wizkid
City of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Collard Greens (feat. Kendrick Lamar),ScHoolboy Q
